2020-02-13/22:53:11		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:20		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:21		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:22		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:23		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:24		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:25		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:26		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:27		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:28		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:29		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:30		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:31		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:32		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:33		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:34		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:35		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:36		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:37		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:38		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:39		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:40		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:41		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:41		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
